Code,Board,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
S92000003,Scotland,"5,180,200","5,164,540","5,148,120","5,138,880","5,127,890","5,111,760","5,099,020","5,077,440","5,078,190","5,081,270","5,083,330","5,085,620","5,092,460","5,102,210","5,103,690","5,092,190","5,083,340","5,077,070","5,071,950","5,062,940","5,064,200","5,066,000","5,068,500","5,084,300","5,110,200","5,133,000","5,170,000","5,202,900","5,231,900","5,262,200","5,299,900","5,313,600","5,327,700","5,347,600","5,373,000","5,404,700","5,424,800","5,438,100","5,463,300"
S08000015,Ayrshire and Arran,"377,854","376,850","376,300","376,250","375,590","375,420","375,470","374,900","375,120","375,220","375,200","374,610","374,480","374,350","374,210","373,150","372,750","371,790","370,560","368,770","368,290","367,500","367,710","368,550","369,000","369,330","370,750","372,120","372,430","372,810","373,760","373,220","372,240","371,140","370,590","370,560","370,410","369,670","369,360"
S08000016,Borders,"101,256","101,080","101,050","101,230","101,610","101,580","101,860","102,130","102,600","103,370","103,830","104,540","105,040","105,450","105,940","105,860","105,960","106,040","105,810","106,250","106,950","107,530","108,390","109,450","110,250","110,860","112,200","113,360","113,590","113,700","113,880","113,720","113,880","114,040","114,030","114,530","115,020","115,270","115,510"
S08000017,Dumfries and Galloway,"145,502","145,350","145,310","145,360","145,420","145,170","145,220","145,360","146,710","147,150","147,170","147,650","147,940","148,130","148,520","148,520","148,520","148,740","148,230","147,540","147,780","147,670","147,860","148,700","149,620","149,770","150,370","151,010","151,160","151,100","151,410","150,840","150,280","149,960","149,670","149,520","149,200","148,790","148,860"
S08000029,Fife,"341,589","342,300","343,800","345,300","345,400","345,490","345,480","345,170","345,970","346,970","347,360","347,910","349,260","350,190","349,720","347,430","346,540","346,540","347,030","348,340","349,770","350,740","351,360","353,050","355,460","357,260","358,740","360,040","361,420","362,610","365,300","366,210","366,900","367,250","368,080","370,330","371,410","371,910","373,550"
S08000019,Forth Valley,"273,625","273,270","272,950","272,890","272,450","271,930","272,090","271,340","271,070","271,810","271,530","271,620","272,060","272,850","273,670","274,660","275,950","276,970","278,260","278,980","279,540","280,690","282,030","283,900","286,800","288,720","291,350","293,020","294,190","296,010","298,080","299,090","299,670","300,400","302,650","304,480","305,580","306,070","306,640"
S08000020,Grampian,"484,899","490,230","494,180","497,530","500,960","503,700","503,630","502,370","506,300","508,750","513,980","521,490","527,870","532,910","533,820","532,770","530,480","528,670","528,670","527,080","525,850","527,200","529,360","531,890","536,360","541,590","548,300","553,690","559,200","564,850","569,580","573,400","579,200","584,220","587,820","588,100","586,380","584,550","585,700"
S08000031,Greater Glasgow and Clyde,"1,294,362","1,281,920","1,268,700","1,257,400","1,246,970","1,237,430","1,225,800","1,212,240","1,202,410","1,193,880","1,189,490","1,180,990","1,174,650","1,170,020","1,162,400","1,154,320","1,145,290","1,140,490","1,134,250","1,126,950","1,126,690","1,122,800","1,116,470","1,112,010","1,110,810","1,108,800","1,112,000","1,116,840","1,122,330","1,127,840","1,135,400","1,137,320","1,137,920","1,142,590","1,149,890","1,161,370","1,169,110","1,174,980","1,183,120"
S08000022,Highland,"285,851","285,920","287,460","288,980","290,610","291,620","291,670","292,940","294,340","295,780","297,310","297,350","297,910","299,290","300,170","300,390","300,280","300,520","300,840","300,180","300,220","300,780","302,570","305,140","308,400","311,640","314,790","316,880","318,200","319,350","321,660","319,800","320,980","320,730","321,000","321,900","321,990","321,800","321,700"
S08000032,Lanarkshire,"651,649","648,790","646,900","644,620","641,030","636,700","635,060","631,730","631,610","631,520","629,430","629,060","628,150","629,050","628,380","627,060","626,950","625,510","624,740","623,660","623,520","625,290","627,180","631,060","633,990","637,190","641,530","644,590","647,340","649,460","651,620","652,220","652,590","653,300","654,490","656,490","658,130","659,200","661,900"
S08000024,Lothian,"749,481","748,460","744,730","744,690","743,660","740,350","741,310","739,040","742,670","745,280","745,330","744,730","747,890","752,330","758,030","760,940","764,780","767,920","771,690","776,500","779,180","779,810","778,910","781,810","787,260","792,990","801,450","808,940","816,510","825,520","836,610","843,740","849,720","858,120","867,800","880,000","889,450","897,770","907,580"
S08000025,Orkney,"19,182","19,100","19,190","19,190","19,180","19,080","19,070","19,170","19,270","19,360","19,520","19,670","19,710","19,750","19,810","19,730","19,770","19,590","19,420","19,290","19,220","19,330","19,540","19,830","20,070","20,340","20,580","20,740","20,940","21,220","21,420","21,530","21,560","21,580","21,670","21,850","22,000","22,190","22,270"
S08000026,Shetland,"26,347","24,100","22,300","22,200","22,300","22,400","22,400","22,300","22,200","22,390","22,530","22,600","22,760","22,790","22,970","22,860","22,830","22,700","22,510","22,180","21,960","22,000","21,950","22,090","22,250","22,210","22,350","22,480","22,800","23,060","23,240","23,210","23,200","23,220","23,200","23,200","23,080","22,990","22,920"
S08000030,Tayside,"397,055","395,680","393,870","392,060","391,640","389,920","389,500","388,490","387,970","390,050","391,320","394,160","395,480","395,980","397,240","395,900","395,330","394,050","392,730","390,430","388,780","388,310","388,740","390,170","393,000","395,240","398,380","401,910","404,370","407,070","410,250","411,740","412,160","413,800","415,040","415,470","416,090","416,080","417,470"
S08000028,Western Isles,"31,548","31,490","31,380","31,180","31,070","30,970","30,460","30,260","29,950","29,740","29,330","29,240","29,260","29,120","28,810","28,600","27,910","27,540","27,210","26,790","26,450","26,350","26,430","26,650","26,930","27,060","27,210","27,280","27,420","27,600","27,690","27,560","27,400","27,250","27,070","26,900","26,950","26,830","26,720"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
